ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
BPFI,BPFI.JK,Woori Finance Indonesia Tbk.,01 Jun 2009,2673995362,Pengembangan,active,
BPII,BPII.JK,Batavia Prosperindo Internasio,08 Jul 2014,9884153240,Pengembangan,active,
BPTR,BPTR.JK,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3534000000,Pengembangan,active,
BRAM,BRAM.JK,Indo Kordsa Tbk.,05 Sep 1990,450056980,Pengembangan,active,
BREN,BREN.JK,Barito Renewables Energy Tbk.,09 Okt 2023,133786220000,Utama,active,
BRIS,BRIS.JK,Bank Syariah Indonesia (Perser,09 Mei 2018,45667877639,Utama,active,
BRMS,BRMS.JK,Bumi Resources Minerals Tbk.,09 Des 2010,141784040338,Utama,active,
BRNA,BRNA.JK,Berlina Tbk.,06 Nov 1989,979110000,Pengembangan,active,
BRPT,BRPT.JK,Barito Pacific Tbk.,01 Okt 1993,93747218044,Utama,active,
BRRC,BRRC.JK,Raja Roti Cemerlang Tbk.,09 Jan 2025,994603036,Pengembangan,active,
BSBK,BSBK.JK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25091882375,Pengembangan,active,
BSDE,BSDE.JK,Bumi Serpong Damai Tbk.,06 Jun 2008,21171365812,Utama,active,
BSIM,BSIM.JK,Bank Sinarmas Tbk.,13 Des 2010,19517921842,Utama,active,
BSML,BSML.JK,Bintang Samudera Mandiri Lines,16 Des 2021,1850225000,Pengembangan,active,
BSSR,BSSR.JK,Baramulti Suksessarana Tbk.,08 Nov 2012,2616500000,Pengembangan,active,
BSWD,BSWD.JK,Bank Of India Indonesia Tbk.,01 Mei 2002,3651978177,Pemantauan Khusus,special_monitoring,
BTEK,BTEK.JK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46277496376,Pemantauan Khusus,special_monitoring,
BTEL,BTEL.JK,Bakrie Telecom Tbk.,03 Feb 2006,36822665755,Pemantauan Khusus,special_monitoring,
BTON,BTON.JK,Betonjaya Manunggal Tbk.,18 Jul 2001,720000000,Pengembangan,active,
BTPN,BTPN.JK,Bank SMBC Indonesia Tbk.,12 Mar 2008,10536203690,Utama,active,
BTPS,BTPS.JK,Bank BTPN Syariah Tbk.,08 Mei 2018,7626663000,Utama,active,
BUAH,BUAH.JK,Segar Kumala Indonesia Tbk.,09 Agt 2022,2000000000,Pengembangan,active,
BUDI,BUDI.JK,Budi Starch & Sweetener Tbk.,08 Mei 1995,4498997362,Utama,active,
BUKA,BUKA.JK,Bukalapak.com Tbk.,06 Agt 2021,103167090767,Ekonomi Baru,active,
BUKK,BUKK.JK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2640452000,Utama,active,
BULL,BULL.JK,Buana Lintas Lautan Tbk.,23 Mei 2011,15494436593,Pengembangan,active,
BUMI,BUMI.JK,Bumi Resources Tbk.,30 Jul 1990,371335392068,Utama,active,
BUVA,BUVA.JK,Bukit Uluwatu Villa Tbk.,12 Jul 2010,24617054642,Pengembangan,active,
